h,G,Nm,chi,mag,C,m1,m2,m3,m4,m5,m6,m7
0.355,2.6390200876826673,0.0,6.4096648739279416e-12,0.23389769278148975,1.4398390766614046,0.14615550943440098,0.14615556221115325,1.8314314345230088e-07,3.0394542379921956e-07,2.3031775022465202e-07,2.03587738661564e-07,1.6502750897369802e-07
0.36,2.6416377931242936,0.0,1.3070261466606184e-11,0.2372931401287648,1.4383235693931282,0.14494067081303458,0.14494068183244552,2.797450546644409e-07,2.4383887816419527e-07,2.1482361791250484e-07,3.3695596324845487e-07,5.658417282825361e-07
0.365,2.6442932530711025,0.0,1.9434278515545905e-11,0.24069063900408633,1.4376148740628605,0.14370232806830419,0.14370236783811227,2.9958563553931783e-07,2.2010600218377667e-07,4.5603531253450266e-07,2.6237159768868136e-07,4.557065668840094e-07
0.37,2.646986482047101,0.0,4.170701049832324e-11,0.24409177483369446,1.4360951331244958,0.14243990221838757,0.14243988882952285,2.1337104083022964e-07,1.9505283036233874e-07,1.6229587214077388e-07,1.7500639669666753e-07,3.008868687896103e-07
0.375,2.6497175004960445,0.0,9.566767805653593e-12,0.24749305732375304,1.4351686994346844,0.14115307299947194,0.14115309595371756,2.250045070416826e-07,1.7269852298134343e-07,2.0200674078289688e-07,1.2511440994427394e-07,6.318993456400541e-07
0.38,2.6524863238391587,0.0,5.627094892739003e-12,0.25089618946000847,1.4341426630680234,0.13984154821963565,0.13984152982930625,1.836426534049279e-07,2.0745919885254097e-07,9.435091952714683e-08,2.7169682720773897e-07,3.6739147914111376e-07
0.385,2.655292963095285,0.0,9.19854950698118e-12,0.254301287252229,1.4327363268947444,0.1385045475578926,0.13850467320035395,2.077290865459075e-07,1.9130595513091225e-07,2.733553292506353e-07,1.3610774370566075e-07,3.2747438702101027e-07
0.39,2.658137430979115,0.0,4.9835342530995636e-12,0.257707209360018,1.4313548458159964,0.1371419180037092,0.13714216120288658,1.8301360467740496e-07,2.6541014163122756e-07,1.8532627418344033e-07,5.104486212197983e-07,2.2393421262745006e-07
0.395,2.661019736593002,0.0,4.964952372758741e-12,0.261109357353703,1.4306073417672747,0.13575311143973012,0.13575311163361592,3.949030584776887e-07,4.1569673997409125e-07,3.9288378548863835e-07,3.287875903809611e-07,3.462843219785435e-07
0.4,2.6639398883713805,0.0,1.0691038312558856e-11,0.2645188964613582,1.4286344425414113,0.13433741045421543,0.13433749898273745,3.5608521863389386e-07,3.826250085486727e-07,3.0691268112683866e-07,4.4876704340945227e-07,3.462520348272036e-07
0.405,2.666897888324805,0.0,4.025639910788108e-13,0.2679216446115256,1.4274930183911585,0.13289444982266765,0.13289436220350506,2.0327257952515535e-07,2.1568855897973202e-07,1.2475295273820196e-07,2.1737011505571504e-07,2.2599186246650552e-07
0.41000000000000003,2.669893737837004,0.0,4.602377557184254e-12,0.2713305610112598,1.4264241558263195,0.13142338837552525,0.1314233542351481,2.72457510369825e-07,2.8687012039344324e-07,3.438625022652405e-07,1.9991282923042958e-07,2.964124148349558e-07
