p,G,Nm,chi,m1,m2,m3,m4,m5,m6,m7
0.62,65.20709872047152,51.0,-1.3976266634279912e-07,0.00017659988600760173,0.0001107782829290439,0.0001597364840967016,0.34718798056573297,0.34587674915199723,0.3460050306255621,0.34686083541623425
0.625,65.73817945233083,51.0,-1.3529665817588697e-07,0.00016373546265890465,0.00010164787514459306,0.00014510752098496817,0.34719335824972924,0.34588853021027044,0.34598691246428653,0.34686215921087943
0.63,66.2686911488926,51.0,-1.344841376671872e-07,0.00015179770887808808,9.376110689186836e-05,0.00014182758373301879,0.34720357740929975,0.3458753436182111,0.34598711747658484,0.34686272828322995
0.635,66.79895419199622,51.0,-1.217039034843363e-07,0.00014016823864915432,9.061727189575288e-05,0.00012530003354745237,0.34719629663511764,0.3458943189695559,0.3459846407317837,0.3468542372542278
0.64,67.3264886810513,51.0,-1.328820888239448e-07,0.00013341509970108003,8.571891686948875e-05,0.00012620139504004963,0.3471956643224236,0.34587911113881004,0.3459611637233348,0.3468941994976852
0.645,67.85660119461484,51.0,-1.3980922789010757e-07,0.00012530288110890962,8.735892687113186e-05,0.00012026209155025939,0.347205666349818,0.34587519523788796,0.3459674935981446,0.34688041621138277
0.65,68.38631355170068,51.0,-1.3877556665188665e-07,0.00012038928753880002,8.396403341451056e-05,0.00011408821360311604,0.3472031550417292,0.34588209177191614,0.34597327890664814,0.34686922180657587
0.655,68.91738216420322,51.0,-1.29508649317366e-07,0.00011644918871904302,8.396302130465655e-05,0.00010647474248683628,0.3472232946607699,0.345881208189394,0.34596473370169983,0.34685827861793506
0.6599999999999999,69.44457013244882,51.0,-1.4876666300476122e-07,0.00015902213952350002,0.0001041234302651787,6.812551874948224e-05,0.347178124966357,0.34626319510757936,0.34582632285549925,0.3466549066859721
0.665,69.97287906266558,51.0,-1.259117606156729e-07,0.000156171009083517,9.92403475007436e-05,6.388571539757063e-05,0.3471537624280671,0.34628450538311184,0.34585335961562597,0.34662992375289814
0.6699999999999999,70.50214554172462,51.0,-1.2090554429566847e-07,0.00014763172488371288,9.681510613906592e-05,6.075436490410416e-05,0.34715148409555896,0.34628135690528133,0.34584919494165817,0.3466394325399973
0.675,71.03120852066219,51.0,-1.3437247843304162e-07,0.0001428304055797838,9.35797281299873e-05,5.770560001425899e-05,0.34714672540293307,0.3462877757664827,0.3458472794152109,0.3466402537005453
0.6799999999999999,71.56093720282557,51.0,-1.3387377311161792e-07,0.00013667754991562292,8.999722961374397e-05,5.4805177571193224e-05,0.3471330378713473,0.3463016871923117,0.3458549463002241,0.34663242658099114
0.685,72.09171398388135,51.0,-1.2576457071294397e-07,0.00013026196125249083,8.620237404254849e-05,5.1834330571612454e-05,0.3471309437445704,0.3463061806829096,0.34585717178400205,0.34662869563236726
0.69,72.6226632949272,51.0,-1.1614269322050407e-07,0.00012519002199562663,8.247545241457336e-05,4.854120609593503e-05,0.3471342395397001,0.34630061878023954,0.3458808011583064,0.3466067186506757
0.695,73.15128541232603,51.0,-1.1218678487517973e-07,0.00012336294146710254,8.110204757056105e-05,4.5604579818141815e-05,0.34711376035089564,0.3463110601087999,0.3459141558371148,0.34658259421109483
0.7,73.67908010611025,51.0,-1.1084118974495285e-07,0.00011995160198874858,7.801127329269221e-05,4.343092082126145e-05,0.3471027784144482,0.3463174258192055,0.34592122260023983,0.3465803924266828
