h,T,G,Nm,chi,m1,m2,m3,m4,m5,m6,m7
0.8,0.35,3.2891985073516117,0.0,7.918725693380965e-12,7.191149377896317e-07,4.1933251639020786e-07,0.15765507779226967,3.6033762644803456e-07,2.8250219565797796e-07,3.895195064440574e-07,4.81645881796164e-07
0.8500000000000001,0.35,3.371898201962682,0.0,2.245785218928555e-12,0.10644583837467632,5.836566771362929e-07,5.089696782482736e-07,2.2462318989437985e-07,2.1041508663705747e-07,1.9859130613492836e-07,3.4344468974402577e-07
0.9,0.35,3.4589859264277765,0.0,5.071309597003525e-28,2.539033330995278e-11,1.8149627298045655e-11,3.37123845484469e-11,3.4661819435359816e-11,3.473509726281868e-11,2.347123253182523e-11,2.3604806407612463e-11
0.9500000000000001,0.35,3.549234927210126,0.0,1.9180898964107725e-33,7.666083578741683e-15,3.0237976147482086e-16,2.7172309588477933e-16,2.939236234968394e-17,5.3769386407454186e-17,5.1241283550094134e-17,6.962827839324362e-17
1.0,0.35,3.6418938412350674,0.0,-4.523495339035405e-32,4.32217903042719e-15,7.009157639917682e-16,7.55746349700748e-16,8.680502084934615e-16,8.34175452220598e-16,8.170937902169775e-16,8.665952840073513e-16
1.05,0.35,3.736782948372277,0.0,3.363606919792804e-33,3.5439818971850754e-15,1.3139528050322207e-16,1.187981193488081e-16,4.3659087847399725e-17,6.085650118052744e-17,4.1466915243226734e-17,6.050974355987427e-17
1.1,0.35,3.833737441956119,0.0,5.107956789354773e-33,5.232832398573209e-15,3.827432209824936e-17,5.3751166150852114e-17,2.5843059163282363e-17,1.5049484070493657e-17,4.7167019084424945e-17,7.203228364366534e-17
1.1500000000000001,0.35,3.932606508345633,0.0,-6.977399478247882e-33,3.1774755224407022e-15,5.754509768683691e-17,1.0321910627127329e-16,3.347393831730295e-17,2.793806514562628e-17,3.6197227706657474e-17,5.032556147598447e-17
1.2000000000000002,0.35,4.033252344922202,0.0,2.7701109880772967e-32,3.615436741121796e-15,3.741038540175542e-16,4.3190142885004084e-16,6.640934873853669e-16,4.1660755672571904e-16,5.579011509724909e-16,5.211750443127657e-16
1.25,0.35,4.135549159099685,0.0,3.020713602804008e-31,6.7624069138144524e-15,6.1968169118800316e-15,6.261016588205089e-15,7.356622923629426e-15,7.423851532792614e-15,7.258898497532303e-15,7.35880752579299e-15
1.3,0.35,4.2393821796916615,0.0,4.531139900216752e-33,3.978655513537807e-15,1.0340324177672759e-16,7.411661573701135e-17,4.1316142337079845e-17,4.63412243284986e-17,2.600731203109645e-17,6.756091398388792e-17
1.35,0.35,4.344646702724428,0.0,1.0541154908970505e-31,6.48284336232408e-15,5.609121291056975e-15,5.537477421824488e-15,7.808568129701848e-15,5.914659408053956e-15,5.6312097186541925e-15,7.302119530225065e-15
1.4000000000000001,0.35,4.451247186381379,0.0,6.620387907685331e-27,5.871040117723494e-11,5.452670133698934e-11,6.457681977600085e-11,6.087461046585308e-11,9.232119451859218e-11,7.263842222967164e-11,8.438328524901116e-11
1.4500000000000002,0.35,4.559096404007118,0.0,-2.4295805354536447e-32,6.445888844021088e-15,4.9152413663429145e-15,5.0394040881126375e-15,7.228671570478383e-15,7.19452781247825e-15,7.377717574987453e-15,7.319448854316897e-15
1.5,0.35,4.6681146597451875,0.0,-1.4594162255299355e-33,3.4686766492171834e-15,8.304823091615209e-17,9.826563965241666e-17,9.136390312290949e-17,3.43264987899997e-17,5.814592275739522e-17,9.694012623978477e-17
0.0,0.36999999999999994,2.631191858657677,8.0,-6.238805077568461e-08,0.22249239050751254,0.22249277466769313,0.22249095348813241,0.02390222292401839,0.023902129976999836,0.02390217645061762,0.02390224280350673
0.05,0.36999999999999994,2.633315463368448,8.0,-0.002994303796153141,0.22208160374766228,0.22208129514557387,0.22208200098070072,0.023799594196372162,0.02379992858774838,0.02379982794710566,0.023602535168126566
0.1,0.36999999999999994,2.639697047519348,8.0,-0.0059178861588523885,0.2208448878913052,0.22084215815315536,0.2208402841931929,0.023505251999445077,0.02350505294634098,0.023505523674379022,0.022709964010945164
0.15000000000000002,0.36999999999999994,2.6503688228041566,8.0,-0.008687746124234626,0.21875021785866677,0.2187536783167716,0.21875149386423665,0.02306446842976969,0.02306428000377387,0.023064374455296164,0.021252178868542707
0.2,0.36999999999999994,2.665382891624346,8.0,-0.011196971880764657,0.2157684153398539,0.2157722910255216,0.21576985982141936,0.022541919047024326,0.022541647887049935,0.02254206764260378,0.019277341678252503
0.25,0.36999999999999994,2.6848093366234287,2.0,-0.01330867525476722,0.21184170275638217,0.2118396918275706,0.21184435538659463,0.022006325882082203,0.02200650778427054,0.02200642085208866,0.016863310397344396
0.30000000000000004,0.36999999999999994,2.7087335746953474,2.0,-0.014862682650034542,0.2068940394350063,0.206889327682501,0.20689253268015792,0.021504747711262873,0.021504810579211765,0.021504836806161273,0.014119374065156771
0.35000000000000003,0.36999999999999994,2.737253639919665,2.0,-0.015671157955742414,0.2008192700637191,0.20082165831952847,0.20082125239125978,0.021030754294620896,0.021030908724302872,0.021030762127074876,0.01119453912324383
0.4,0.36999999999999994,2.7704779287143575,2.0,-0.015554827774921561,0.19349678835169648,0.19349640329579826,0.19349692603395824,0.02050139908422874,0.020501028766124873,0.02050132284367532,0.00826763581760424
0.45,0.36999999999999994,2.80852394393213,2.0,-0.014388910018281471,0.1847452237373646,0.18474567774689837,0.18474413835504996,0.019756105171446613,0.019756344437375846,0.019755998487832164,0.005539868471032857
0.5,0.36999999999999994,2.8515158630295963,2.0,-0.01218387748137444,0.17434099648240242,0.17434145430055298,0.17434071726906733,0.0185821628214669,0.01858208268980445,0.01858205711772633,0.003220805831460044
0.55,0.36999999999999994,2.8995757021975064,2.0,-0.009183966221411662,0.1620225276352088,0.16202256897726286,0.16202235589584818,0.016762682032333512,0.016762793728257078,0.016762983648243593,0.001488792383853601
0.6000000000000001,0.36999999999999994,2.952798041736025,0.0,-0.005943178375579786,0.14754330970259233,0.1475427672701424,0.14754321629270947,0.014173739088546375,0.014173953598109981,0.014173570255345255,0.00042906554974634167
0.65,0.36999999999999994,3.0112030558936698,0.0,-0.003175359172480434,0.13072102824517082,0.13072107559114646,0.1307208116864561,0.010906675172764396,0.010906604745116224,0.010906560279210657,3.9718572600821076e-05
0.7000000000000001,0.36999999999999994,3.074692933724162,0.0,-0.0013401272944253738,0.11128089846128318,0.11128147772061985,0.11128066043822031,0.007314312087010403,0.007314596326672303,0.007314165703508959,0.00013825637075004184
0.75,0.36999999999999994,3.143057027265236,0.0,-0.00040245044231321844,0.08824659354812973,0.0882466463084812,0.08824668531623549,0.0038913588457233726,0.0038911918201609105,0.00389132787594839,9.042865320614233e-05
0.8,0.36999999999999994,3.2160332572679797,0.0,-9.982733067447013e-13,0.10131564280783827,9.75135530646104e-07,2.7255403482262e-06,3.168182435930274e-07,4.2231966932689945e-07,4.636086914612453e-07,6.09844342221108e-07
0.8500000000000001,0.36999999999999994,3.2932832872238884,0.0,-9.60695061484385e-29,1.4052808155522788e-11,1.5637100379431624e-11,1.1079245358390622e-11,1.6922427127180373e-11,1.4902784780112148e-11,1.6462837796827666e-11,1.7310617221486408e-11
0.9,0.36999999999999994,3.373674972477909,0.0,7.361208507933692e-21,3.597782190348023e-08,4.642525110595929e-08,8.513404967410902e-08,7.20221748570475e-08,1.1815651466316142e-07,5.298718271333843e-08,1.0611868178222157e-07
0.9500000000000001,0.36999999999999994,3.4565820067203257,0.0,-1.0049123152934699e-32,3.6241292181689995e-15,6.366564230169197e-17,1.739056637016253e-16,5.669920511501155e-17,6.158495006041701e-17,3.568279664922937e-17,6.867206501608248e-17
1.0,0.36999999999999994,3.5418251425135057,0.0,6.570953449358009e-27,1.9393923017502353e-11,2.0494999083565436e-11,2.126731896986905e-11,2.5437885757314378e-11,2.511848687748486e-11,2.509965817766809e-11,2.638207733940298e-11
