p,h,G,Nm,chi,m1,m2,m3,m4,m5,m6,m7
0.05,0.6000000000000001,106.51819146605419,2.0,-0.28203007922934537,0.3630138547552142,0.36258636469122435,0.3625722578512405,0.06662798054182764,0.06662691767998959,0.066631118375339,0.03877535094899208
0.05,0.7000000000000001,109.44616300924804,2.0,-0.3129487684594037,0.3564990106705689,0.35657584727301317,0.35649127131868313,0.06572577442452014,0.06572411036710571,0.06572660390522453,0.029371389845557944
0.05,0.8,112.83801528921441,2.0,-0.32962944791097715,0.3491404106710695,0.3491687744030399,0.3491554120714944,0.06490723609392317,0.06490874332944556,0.06490715900702411,0.02018350960789793
0.05,0.9,116.70500718387106,2.0,-0.3340085443442884,0.34041770611480543,0.3404204159728349,0.3404393791678276,0.06405845047358182,0.06406040304330306,0.06405533023278372,0.01108572472737693
0.05,1.0,121.06582686179632,2.0,-0.3261806534063056,0.3300287212211608,0.3300594077991509,0.3300489430808343,0.06295147312060048,0.06295457148502433,0.0629532222906958,0.0023275647040434115
0.05,1.1,125.96448054473565,2.0,-0.27326597677900744,0.316454128101128,0.31635115977367667,0.31630258656788407,0.0608495656022962,0.06084376179504725,0.06084636530584743,0.008053770261368626
0.05,1.2000000000000002,131.4850985970601,2.0,-0.21187690518141677,0.2988907928093111,0.299017875431821,0.2997170303767896,0.058003457253300174,0.05798023148821855,0.05789375075953473,0.012425171151910436
0.05,1.3,137.7150042366095,0.0,-1.2819458779007535e-09,0.0001046834608458737,6.690338380798772e-05,0.47673487871407655,4.734372551898844e-06,6.234560600678852e-06,6.525920699158094e-06,6.946721626861746e-06
0.05,1.4000000000000001,145.03352169411957,0.0,-7.516814405435861e-10,3.4254774648005255e-05,0.4467137327378344,7.048027736860861e-05,8.635266192768069e-06,7.527969578501071e-06,1.2326294872888661e-05,8.263422264029529e-06
0.05,1.5,152.73677273992087,0.0,-6.420003613191941e-10,9.849115079707545e-05,0.4153289058660761,8.189438967203857e-05,3.6353055934074436e-06,6.926951408784001e-06,6.600623480245958e-06,6.624521774874027e-06
0.05,1.6,160.7942327850722,0.0,-4.049047679608195e-10,3.5945900327889745e-05,0.00016771326547738644,0.3822276744999925,7.40529269598045e-06,6.418655386728689e-06,4.780459045279323e-06,4.627544710742278e-06
0.05,1.7000000000000002,169.18028883553822,0.0,-1.1332225431336723e-09,0.00027529663232419947,7.690678751480387e-05,0.3468647042025835,1.4011578979195632e-06,5.3815857311795035e-06,8.6192073666875e-06,3.246719815952136e-06
0.05,1.8,177.87313977978317,0.0,-1.0700931466391358e-10,6.929037689350746e-05,8.917106630119701e-05,0.30839315427907543,3.56898173383547e-06,8.956384034209529e-06,8.149095335172278e-06,7.638169559059583e-06
0.05,1.9000000000000001,186.85419954455838,0.0,-1.4635202289372304e-09,0.2653769389745058,0.00048322471677800244,0.0005353065725283313,9.666804282066255e-06,4.570994244020597e-06,3.678103778835686e-06,6.973228962156587e-06
0.05,2.0,196.1075671233907,0.0,-4.983001078056072e-09,0.2149917271598443,0.0013071694573783435,0.0021151934545468698,6.761395361451751e-06,4.2625777348266385e-06,1.0851245790986404e-05,2.587770046925761e-06
0.05,2.1,205.62324492056467,0.0,-1.59791728326319e-09,0.0011423758230516136,0.14992870777641376,0.000760901865260603,6.39106702885947e-06,5.65392922204361e-06,3.7437514936243558e-06,6.078670768255451e-06
0.05,2.2,215.39526837372935,0.0,-4.46212080415465e-19,6.618293004557219e-07,1.5299775139635646e-06,1.191316450440656e-06,1.5028471648240907e-06,1.4276678145979312e-06,1.3874670182803817e-06,1.4216347711175624e-06
0.05,2.3000000000000003,225.28579105434707,0.0,4.9118175120347615e-19,1.9421925026476017e-07,2.306159377638954e-07,1.0659409249741282e-07,5.150852330034103e-07,1.6480002062289277e-07,5.764314253191891e-07,1.9696302014759955e-07
0.05,2.4000000000000004,235.17832560317677,0.0,-1.1041976928512765e-20,1.1635560940729199e-07,1.1226209871292774e-07,1.7137782285075423e-07,4.913189854217957e-07,3.7135018183831785e-07,5.992902740400139e-07,5.128776285341768e-07
0.05,2.5,245.07275899647328,0.0,-1.1298624677754146e-20,2.0615722489776124e-08,2.921118649489581e-08,3.2442723477106365e-08,5.763821330632168e-08,3.019550749786619e-08,9.369718469596153e-08,1.3843902498880654e-07
0.05,2.6,254.96897748639435,0.0,3.1486468497428563e-25,6.9014849876452725e-09,2.0976962711978495e-08,1.501528010497587e-08,8.240328013034184e-10,3.916968682879479e-09,2.3687332234821572e-09,2.9770059412703488e-09
0.05,2.7,264.8668867273285,0.0,-3.997328143017826e-22,3.057533497199478e-08,3.953341824151711e-08,3.690342529929586e-08,1.0177743773285914e-07,1.308303728381243e-07,1.0742578061451369e-07,1.1744564752270699e-07
0.05,2.8000000000000003,274.7663831795052,0.0,-3.43446020430111e-25,3.339008413767337e-09,1.1048146883540702e-08,3.0346570746377977e-09,2.279891577142451e-09,1.2898591173565216e-09,3.0443649133821283e-09,3.6505147532993496e-09
0.05,2.9000000000000004,284.66739664859284,0.0,9.711210775830826e-20,3.9140071108713e-07,3.5013873744990606e-07,3.819819528400985e-07,9.32326453753319e-07,9.17134856914173e-07,9.94379320425967e-07,4.3588428225610616e-07
0.05,3.0,294.5698558897679,0.0,1.8324248530469778e-18,6.305453651277368e-08,1.1484734256563873e-07,1.0612290190719121e-07,2.036947655200118e-07,3.4195907164887207e-07,1.4430964340462653e-07,2.124655344715695e-07
0.1,0.0,93.61791025980484,8.0,-5.873332088958659e-06,0.3795929881567929,0.37961023036091707,0.37960328833332224,0.0760188764123318,0.07602058338251085,0.07601529184386356,0.07601981568427127
0.1,0.1,93.8363030779028,8.0,-0.03887187393206538,0.3791419889444984,0.3791402434328972,0.37913644461184787,0.07586092653100421,0.07586141405641732,0.07585975021794018,0.07475698571408732
0.1,0.2,94.49673940970163,8.0,-0.08316705807635669,0.37771315448828613,0.3777270804984513,0.3777173149369369,0.07534875178307059,0.07534762989861944,0.0753479931373115,0.071002613715162
0.1,0.30000000000000004,95.61284139739593,8.0,-0.13602515965230957,0.37525363793374267,0.3752423980265639,0.37529703854773727,0.07439052479043666,0.07439284612960685,0.07438897520737221,0.06492155303489197
0.1,0.4,97.20105129520948,8.0,-0.19594096389385895,0.37167938279617346,0.3716956924031748,0.37171987032203774,0.07299265424715004,0.07298888579563588,0.07299372480790506,0.05693938919808724
0.1,0.5,99.27400671458459,2.0,-0.25511064056768434,0.36700920176741,0.3669789562414775,0.3669964335610555,0.07133668299044148,0.07133602995599414,0.07133808661910161,0.04774247037241589
0.1,0.6000000000000001,101.84877239350845,2.0,-0.29506006869208934,0.36085178318133626,0.3607310584359044,0.36072518765567624,0.06900488204819515,0.06900828867385464,0.06900473145071112,0.036278587125630056
0.1,0.7000000000000001,104.93624476322474,2.0,-0.32282516334201455,0.3537656000170169,0.3538178140378964,0.3537744338932738,0.0682525317756002,0.06825201966840687,0.0682556444460834,0.026169659082220867
0.1,0.8,108.51971911417341,2.0,-0.3345643677927572,0.34543588222763794,0.34544406743644185,0.3454101440674163,0.06748081394360664,0.06747984934965229,0.06748528353407475,0.016359146018767937
0.1,0.9,112.61366557404914,2.0,-0.33262029355282074,0.33539382876941937,0.3354948634452051,0.33544958978245104,0.06650632931606833,0.06649957801135636,0.06650090995433985,0.006826655905734805
